substance_name,experience_type,experience_link,rating,title,author,substance_list,pub_date
α-PCYP,General,/experiences/exp.php?ID=114194,Highly Recommended,Hits You and Quits You,theholydrug,α-PCYP,Apr 2 2020
α-PCYP,First Times,/experiences/exp.php?ID=114194,Highly Recommended,Hits You and Quits You,theholydrug,α-PCYP,Apr 2 2020
α-PCYP,First Times,/experiences/exp.php?ID=114002,Recommended,Apple of Discord,nervewing,"α-PCYP, Etizolam, Cannabis, Flualprazolam & Diphenhydramine",Apr 2 2020
α-PCYP,Combinations,/experiences/exp.php?ID=114002,Recommended,Apple of Discord,nervewing,"α-PCYP, Etizolam, Cannabis, Flualprazolam & Diphenhydramine",Apr 2 2020
α-PCYP,Difficult Experiences,/experiences/exp.php?ID=114002,Recommended,Apple of Discord,nervewing,"α-PCYP, Etizolam, Cannabis, Flualprazolam & Diphenhydramine",Apr 2 2020
α-PHP,General,/experiences/exp.php?ID=106518,,Overhyped and Inferior Bath Salt,johnash,"alpha-PHP, Caffeine, Cannabis & Tobacco",Jul 31 2015
α-PHP,General,/experiences/exp.php?ID=106914,,Snorting It Daily for About 2 Weeks [A-PHP],kik,alpha-PHP,Aug 28 2015
α-PHP,General,/experiences/exp.php?ID=105901,,Perfect Stimulant,John,alpha-PHP,May 12 2015
α-PHP,General,/experiences/exp.php?ID=104851,,Have Been Using This Chem for a While,x.x,alpha-PHP,May 12 2015
α-PHP,First Times,/experiences/exp.php?ID=108960,Recommended,From Psychonaut to Junkie,snake1118,alpha-PHP,Sep 3 2016
α-PHP,First Times,/experiences/exp.php?ID=107041,,Surprisingly Functional Stimulation,Steve,alpha-PHP,Oct 8 2015
α-PHP,First Times,/experiences/exp.php?ID=110638,,Extremely Unexpected,Eh,alpha-PHP,Jun 20 2017
α-PHP,First Times,/experiences/exp.php?ID=108717,,A Pleasant Surprise,pig,alpha-PHP,Nov 1 2016
α-PHP,Combinations,/experiences/exp.php?ID=106518,,Overhyped and Inferior Bath Salt,johnash,"alpha-PHP, Caffeine, Cannabis & Tobacco",Jul 31 2015
α-PHP,Retrospective / Summary,/experiences/exp.php?ID=108960,Recommended,From Psychonaut to Junkie,snake1118,alpha-PHP,Sep 3 2016
α-PHP,Retrospective / Summary,/experiences/exp.php?ID=106914,,Snorting It Daily for About 2 Weeks [A-PHP],kik,alpha-PHP,Aug 28 2015
α-PHP,Retrospective / Summary,/experiences/exp.php?ID=105901,,Perfect Stimulant,John,alpha-PHP,May 12 2015
α-PHP,Retrospective / Summary,/experiences/exp.php?ID=104851,,Have Been Using This Chem for a While,x.x,alpha-PHP,May 12 2015
α-PHP,Health Problems,/experiences/exp.php?ID=106914,,Snorting It Daily for About 2 Weeks [A-PHP],kik,alpha-PHP,Aug 28 2015
α-PHP,Addiction & Habituation,/experiences/exp.php?ID=108960,Recommended,From Psychonaut to Junkie,snake1118,alpha-PHP,Sep 3 2016
α-PVP,General,/experiences/exp.php?ID=99718,,A Completely Misunderstood Compound,Doses,a-PVP,Apr 1 2013
α-PVP,General,/experiences/exp.php?ID=107966,,With Great Power Comes Great Responsibility,Doc_Hyde_,a-PVP,Feb 15 2016
α-PVP,General,/experiences/exp.php?ID=107599,,Cold Crystal Fire,Anonymous,a-PVP,Jan 10 2016
α-PVP,General,/experiences/exp.php?ID=105491,,Euphoric Stimulant Different ROAs,lederrida,a-PVP,Apr 30 2015
α-PVP,General,/experiences/exp.php?ID=109479,,"Smoothest, Least Uncomfortable Analogue",Andy5750,a-PVP,Nov 20 2016
α-PVP,First Times,/experiences/exp.php?ID=103367,,Great High Couple Too Many Side Effects,toastedjelly,a-PVP,Apr 30 2015
α-PVP,Combinations,/experiences/exp.php?ID=107403,,Fear and Loathing in Death Trip,JB-MindKnownResearch,a-PVP & 1P-LSD,Nov 22 2015
α-PVP,Retrospective / Summary,/experiences/exp.php?ID=99718,,A Completely Misunderstood Compound,Doses,a-PVP,Apr 1 2013
α-PVP,Retrospective / Summary,/experiences/exp.php?ID=112117,,DARPA,tamarinds,a-PVP & Sleep Deprivation,Jul 12 2018
α-PVP,Retrospective / Summary,/experiences/exp.php?ID=104449,,The Devil in Crystal Form,Dave_F,a-PVP,Apr 30 2015
α-PVP,Bad Trips,/experiences/exp.php?ID=97846,,Tachycardia XR,Rocket,a-PVP,Nov 19 2012
α-PVP,Health Problems,/experiences/exp.php?ID=112117,,DARPA,tamarinds,a-PVP & Sleep Deprivation,Jul 12 2018
α-PVP,Health Problems,/experiences/exp.php?ID=104449,,The Devil in Crystal Form,Dave_F,a-PVP,Apr 30 2015
α-PVP,Train Wrecks & Trip Disasters,/experiences/exp.php?ID=112117,,DARPA,tamarinds,a-PVP & Sleep Deprivation,Jul 12 2018
α-PVP,Addiction & Habituation,/experiences/exp.php?ID=112117,,DARPA,tamarinds,a-PVP & Sleep Deprivation,Jul 12 2018
α-PVP,Addiction & Habituation,/experiences/exp.php?ID=108836,,Most Overlooked Drug in a Different League,dioxum666,a-PVP,Jul 24 2016
α-PVP,Addiction & Habituation,/experiences/exp.php?ID=107599,,Cold Crystal Fire,Anonymous,a-PVP,Jan 10 2016
α-PVP,Addiction & Habituation,/experiences/exp.php?ID=103367,,Great High Couple Too Many Side Effects,toastedjelly,a-PVP,Apr 30 2015
α-PVP,Addiction & Habituation,/experiences/exp.php?ID=104449,,The Devil in Crystal Form,Dave_F,a-PVP,Apr 30 2015
α-PVP,Glowing Experiences,/experiences/exp.php?ID=108836,,Most Overlooked Drug in a Different League,dioxum666,a-PVP,Jul 24 2016
α-PVP,Glowing Experiences,/experiences/exp.php?ID=109479,,"Smoothest, Least Uncomfortable Analogue",Andy5750,a-PVP,Nov 20 2016
