substance_name,experience_type,experience_type_link
α-PCYP,General,exp_945PCYP_General.shtml
α-PCYP,First Times,exp_945PCYP_First_Times.shtml
α-PCYP,Combinations,exp_945PCYP_Combinations.shtml
α-PCYP,Difficult Experiences,exp_945PCYP_Difficult_Experiences.shtml
α-PHP,General,exp_945PHP_General.shtml
α-PHP,First Times,exp_945PHP_First_Times.shtml
α-PHP,Combinations,exp_945PHP_Combinations.shtml
α-PHP,Retrospective / Summary,exp_945PHP_Retrospective_I_Summary.shtml
α-PHP,Health Problems,exp_945PHP_Health_Problems.shtml
α-PHP,Addiction & Habituation,exp_945PHP_Addiction_Habituation.shtml
α-PVP,General,exp_945PVP_General.shtml
α-PVP,First Times,exp_945PVP_First_Times.shtml
α-PVP,Combinations,exp_945PVP_Combinations.shtml
α-PVP,Retrospective / Summary,exp_945PVP_Retrospective_I_Summary.shtml
α-PVP,Bad Trips,exp_945PVP_Bad_Trips.shtml
α-PVP,Health Problems,exp_945PVP_Health_Problems.shtml
α-PVP,Train Wrecks & Trip Disasters,exp_945PVP_Train_Wrecks_Trip_Disasters.shtml
α-PVP,Addiction & Habituation,exp_945PVP_Addiction_Habituation.shtml
α-PVP,Glowing Experiences,exp_945PVP_Glowing_Experiences.shtml
AB-001,Combinations,exp_AB001_Combinations.shtml
AB-CHMINACA,General,exp_ABCHMINACA_General.shtml
AB-CHMINACA,Health Problems,exp_ABCHMINACA_Health_Problems.shtml
AB-FUBINACA,General,exp_ABFUBINACA_General.shtml
AB-FUBINACA,First Times,exp_ABFUBINACA_First_Times.shtml
AB-FUBINACA,Health Problems,exp_ABFUBINACA_Health_Problems.shtml
Absinthe,General,exp_Absinthe_General.shtml
Absinthe,First Times,exp_Absinthe_First_Times.shtml
Absinthe,Combinations,exp_Absinthe_Combinations.shtml
Absinthe,Retrospective / Summary,exp_Absinthe_Retrospective_I_Summary.shtml
Absinthe,Preparation / Recipes,exp_Absinthe_Preparation_I_Recipes.shtml
Absinthe,Difficult Experiences,exp_Absinthe_Difficult_Experiences.shtml
Absinthe,Bad Trips,exp_Absinthe_Bad_Trips.shtml
Absinthe,Health Problems,exp_Absinthe_Health_Problems.shtml
Absinthe,Train Wrecks & Trip Disasters,exp_Absinthe_Train_Wrecks_Trip_Disasters.shtml
Absinthe,Addiction & Habituation,exp_Absinthe_Addiction_Habituation.shtml
Absinthe,Glowing Experiences,exp_Absinthe_Glowing_Experiences.shtml
Absinthe,Mystical Experiences,exp_Absinthe_Mystical_Experiences.shtml
Absinthe,Health Benefits,exp_Absinthe_Health_Benefits.shtml
Acacia,General,exp_Acacia_General.shtml
Acacia,First Times,exp_Acacia_First_Times.shtml
Acacia,Combinations,exp_Acacia_Combinations.shtml
Acacia,Retrospective / Summary,exp_Acacia_Retrospective_I_Summary.shtml
Acacia,Preparation / Recipes,exp_Acacia_Preparation_I_Recipes.shtml
Acacia,Difficult Experiences,exp_Acacia_Difficult_Experiences.shtml
Acacia,Glowing Experiences,exp_Acacia_Glowing_Experiences.shtml
Acacia,Mystical Experiences,exp_Acacia_Mystical_Experiences.shtml
Acacia,Health Benefits,exp_Acacia_Health_Benefits.shtml
Acacia,Families,exp_Acacia_Families.shtml
Acacia,What Was in That?,exp_Acacia_What_Was_in_That.shtml
Acacia confusa,General,exp_Acacia_confusa_General.shtml
Acacia confusa,First Times,exp_Acacia_confusa_First_Times.shtml
Acacia confusa,Combinations,exp_Acacia_confusa_Combinations.shtml
Acacia confusa,Retrospective / Summary,exp_Acacia_confusa_Retrospective_I_Summary.shtml
Acacia confusa,Preparation / Recipes,exp_Acacia_confusa_Preparation_I_Recipes.shtml
Acacia confusa,Difficult Experiences,exp_Acacia_confusa_Difficult_Experiences.shtml
Acacia confusa,Glowing Experiences,exp_Acacia_confusa_Glowing_Experiences.shtml
Acacia confusa,Mystical Experiences,exp_Acacia_confusa_Mystical_Experiences.shtml
Acacia confusa,Health Benefits,exp_Acacia_confusa_Health_Benefits.shtml
Acacia confusa,Families,exp_Acacia_confusa_Families.shtml
Acacia maidenii,General,exp_Acacia_maidenii_General.shtml
Acacia maidenii,Combinations,exp_Acacia_maidenii_Combinations.shtml
Acacia maidenii,What Was in That?,exp_Acacia_maidenii_What_Was_in_That.shtml
Acacia phlebophylla,General,exp_Acacia_phlebophylla_General.shtml
Acetaminophen,Combinations,exp_Acetaminophen_Combinations.shtml
Acetaminophen,Retrospective / Summary,exp_Acetaminophen_Retrospective_I_Summary.shtml
Acetaminophen,Difficult Experiences,exp_Acetaminophen_Difficult_Experiences.shtml
Acetaminophen,Health Problems,exp_Acetaminophen_Health_Problems.shtml
Acetaminophen,Train Wrecks & Trip Disasters,exp_Acetaminophen_Train_Wrecks_Trip_Disasters.shtml
Acetaminophen,Glowing Experiences,exp_Acetaminophen_Glowing_Experiences.shtml
Acetaminophen,Health Benefits,exp_Acetaminophen_Health_Benefits.shtml
Acetaminophen,Medical Use,exp_Acetaminophen_Medical_Use.shtml
Acetildenafil,First Times,exp_Acetildenafil_First_Times.shtml
Acetylfentanyl,First Times,exp_Acetylfentanyl_First_Times.shtml
Acetylfentanyl,Combinations,exp_Acetylfentanyl_Combinations.shtml
Acetylfentanyl,Retrospective / Summary,exp_Acetylfentanyl_Retrospective_I_Summary.shtml
Acetylfentanyl,Addiction & Habituation,exp_Acetylfentanyl_Addiction_Habituation.shtml
Acetylfentanyl,What Was in That?,exp_Acetylfentanyl_What_Was_in_That.shtml
Aconitum napellus,First Times,exp_Aconitum_napellus_First_Times.shtml
Aconitum napellus,Combinations,exp_Aconitum_napellus_Combinations.shtml
Aconitum napellus,Preparation / Recipes,exp_Aconitum_napellus_Preparation_I_Recipes.shtml
Aconitum napellus,Health Problems,exp_Aconitum_napellus_Health_Problems.shtml
Aconitum napellus,Train Wrecks & Trip Disasters,exp_Aconitum_napellus_Train_Wrecks_Trip_Disasters.shtml
Adrafinil,General,exp_Adrafinil_General.shtml
