substance_name,substance_link
α-PCYP,subs/exp_945PCYP.shtml
α-PHP,subs/exp_945PHP.shtml
α-PVP,subs/exp_945PVP.shtml
AB-001,subs/exp_AB001.shtml
AB-CHMINACA,subs/exp_ABCHMINACA.shtml
AB-FUBINACA,subs/exp_ABFUBINACA.shtml
Absinthe,subs/exp_Absinthe.shtml
Acacia,subs/exp_Acacia.shtml
Acacia confusa,subs/exp_Acacia_confusa.shtml
Acacia maidenii,subs/exp_Acacia_maidenii.shtml
Acacia phlebophylla,subs/exp_Acacia_phlebophylla.shtml
Acetaminophen,subs/exp_Acetaminophen.shtml
Acetildenafil,subs/exp_Acetildenafil.shtml
Acetylfentanyl,subs/exp_Acetylfentanyl.shtml
Aconitum napellus,subs/exp_Aconitum_napellus.shtml
ADB-FUBINACA,subs/exp_ADBFUBINACA.shtml
Adrafinil,subs/exp_Adrafinil.shtml
Adrenochrome,subs/exp_Adrenochrome.shtml
AET,subs/exp_AET.shtml
AH-7921,subs/exp_AH7921.shtml
AL-LAD,subs/exp_ALLAD.shtml
Albizia julibrissin,subs/exp_Albizia_julibrissin.shtml
Alcohol,subs/exp_Alcohol.shtml
Alcohol - Beer/Wine,subs/exp_Alcohol_Beer_I_Wine.shtml
Alcohol - Hard,subs/exp_Alcohol_Hard.shtml
ALD-52,subs/exp_ALD52.shtml
ALEPH,subs/exp_ALEPH.shtml
Aleph-4,subs/exp_Aleph4.shtml
Allylescaline,subs/exp_Allylescaline.shtml
Aloes,subs/exp_Aloes.shtml
alpha-GPC,subs/exp_alphaGPC.shtml
AM-2201,subs/exp_AM2201.shtml
AM-DIPT,subs/exp_AMDIPT.shtml
Amanitas,subs/exp_Amanitas.shtml
Amanitas - A. muscaria,subs/exp_Amanitas_A_muscaria.shtml
Amanitas - A. pantherina,subs/exp_Amanitas_A_pantherina.shtml
Amphetamines,subs/exp_Amphetamines.shtml
Amphetamines - Substituted,subs/exp_Amphetamines_Substituted.shtml
AMT,subs/exp_AMT.shtml
Anabolic Steroids,subs/exp_Anabolic_Steroids.shtml
Anadenanthera colubrina,subs/exp_Anadenanthera_colubrina.shtml
Anadenanthera peregrina,subs/exp_Anadenanthera_peregrina.shtml
Anadenanthera spp.,subs/exp_Anadenanthera_spp.shtml
Animals,subs/exp_Animals.shtml
Animals - Black Widow Spider,subs/exp_Animals_Black_Widow_Spider.shtml
Animals - Fire Ants,subs/exp_Animals_Fire_Ants.shtml
Animals - Frogs,subs/exp_Animals_Frogs.shtml
Aniracetam,subs/exp_Aniracetam.shtml
AP-238,subs/exp_AP238.shtml
Argemone spp. ,subs/exp_Argemone_spp_.shtml
Armodafinil,subs/exp_Armodafinil.shtml
Arundo donax,subs/exp_Arundo_donax.shtml
Arylcyclohexylamines,subs/exp_Arylcyclohexylamines.shtml
Ashwagandha,subs/exp_Ashwagandha.shtml
Atropine,subs/exp_Atropine.shtml
Ayahuasca,subs/exp_Ayahuasca.shtml
Bacopa monnieri,subs/exp_Bacopa_monnieri.shtml
Bad/Suspect Ecstasy,subs/exp_Bad_I_Suspect_Ecstasy.shtml
Banisteriopsis caapi,subs/exp_Banisteriopsis_caapi.shtml
Banisteriopsis muricata,subs/exp_Banisteriopsis_muricata.shtml
Barbiturates,subs/exp_Barbiturates.shtml
BDB ,subs/exp_BDB_.shtml
Bee,subs/exp_Bee.shtml
Belladonna,subs/exp_Belladonna.shtml
Benzodiazepines,subs/exp_Benzodiazepines.shtml
Benzydamine,subs/exp_Benzydamine.shtml
Betel Nut,subs/exp_Betel_Nut.shtml
Biperiden,subs/exp_Biperiden.shtml
bk-2C-B,subs/exp_bk2CB.shtml
bk-DMBDB,subs/exp_bkDMBDB.shtml
bk-EBDB,subs/exp_bkEBDB.shtml
bk-EBDP,subs/exp_bkEBDP.shtml
bk-MBDB,subs/exp_bkMBDB.shtml
bk-MDDMA,subs/exp_bkMDDMA.shtml
bk-MDEA,subs/exp_bkMDEA.shtml
Black Cohosh,subs/exp_Black_Cohosh.shtml
BOD,subs/exp_BOD.shtml
BOH-2C-B,subs/exp_BOH2CB.shtml
Boophone disticha,subs/exp_Boophone_disticha.shtml
Bremelanotide,subs/exp_Bremelanotide.shtml
Bromadol,subs/exp_Bromadol.shtml
Bromazepam,subs/exp_Bromazepam.shtml
Bromazolam,subs/exp_Bromazolam.shtml
Bromo-Dragonfly,subs/exp_BromoDragonfly.shtml
Brugmansia,subs/exp_Brugmansia.shtml
Brunfelsia spp.,subs/exp_Brunfelsia_spp.shtml
Bufotenin,subs/exp_Bufotenin.shtml
Butalbital,subs/exp_Butalbital.shtml
Butyrfentanyl,subs/exp_Butyrfentanyl.shtml
BZ,subs/exp_BZ.shtml
BZP,subs/exp_BZP.shtml
Cacao,subs/exp_Cacao.shtml
Cacti - columnar,subs/exp_Cacti_columnar.shtml
Cacti - M. geometrizans,subs/exp_Cacti_M_geometrizans.shtml
Cacti - Mescaline-containing,subs/exp_Cacti_Mescalinecontaining.shtml
Cacti - T. bridgesii,subs/exp_Cacti_T_bridgesii.shtml
Cacti - T. pachanoi,subs/exp_Cacti_T_pachanoi.shtml
Cacti - T. peruvianus,subs/exp_Cacti_T_peruvianus.shtml
Cacti - T. terscheckii,subs/exp_Cacti_T_terscheckii.shtml
Caffeine,subs/exp_Caffeine.shtml
Calamus,subs/exp_Calamus.shtml
Calea zacatechichi,subs/exp_Calea_zacatechichi.shtml
Canarium luzonicum,subs/exp_Canarium_luzonicum.shtml
Cannabidiol,subs/exp_Cannabidiol.shtml
Cannabinoid Receptor Agonists,subs/exp_Cannabinoid_Receptor_Agonists.shtml
Cannabinoids,subs/exp_Cannabinoids.shtml
Cannabis,subs/exp_Cannabis.shtml
Cannabis - Hash,subs/exp_Cannabis_Hash.shtml
Cannabis - High CBD,subs/exp_Cannabis_High_CBD.shtml
Cannabis - High THC,subs/exp_Cannabis_High_THC.shtml
Capsaicin,subs/exp_Capsaicin.shtml
Capsicum spp.,subs/exp_Capsicum_spp.shtml
Carbidopa,subs/exp_Carbidopa.shtml
Carbogen,subs/exp_Carbogen.shtml
Carbon Dioxide,subs/exp_Carbon_Dioxide.shtml
Carnegiea gigantea,subs/exp_Carnegiea_gigantea.shtml
Casimiroa edulis,subs/exp_Casimiroa_edulis.shtml
